name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
Mingl,https://www.eu-startups.com/directory/mingl/,Norway,"Mingl is reinventing contact management acting as a People Relationship Manager, helping users better build, organize, and leverage their network. The Mingl mobile app allows users to seamlessly exchange contact information and organize all their friends and connections in one place. Geolocation, timestamps, and notes help remember the people you meet.",,Oslo,"Information Services, Information Technology, Software",No funding announced yet,2018,https://mingl.no/,,NO,
Minuendo,https://www.eu-startups.com/directory/minuendo/,Norway,"Minuendo is creating earplugs with technology that adapts to ambient noise.  Minuendo was founded by a team with extensive experience in acoustics, hearing protection, and product development. Their mission is to deliver category-defining hearing protection products that users will truly enjoy wearing and that will provide real protection.",,Oslo,"Sound, Public Safety, Wearables",Between €1 million-€ 2.5 million,2018,https://www.minuendo.com/,,NO,
Manolin,https://www.eu-startups.com/directory/manolin/,Norway,"Manolin is a startup based in Bergen, Norway. Their platform helps aquaculture farmers combine human and artificial intelligence to tackle aquatic diseases. It was founded on Jan 1, 2018.",,Bergen,"Aquaculture, AI, Diseases,",No funding announced yet,2018,manolinaqua.com/,,NO,
imove,https://www.eu-startups.com/directory/imove/,Norway,"imove offers a transparent, green and flexible mobility subscription that lets you book your perfect car online, with free milage and no long-term commitment. Benefits for the user includes access to a fleet of attractive electrical cars for everyday use, and the flexibility to change to another car such as a SUV when they want to. imove also offers a technical platform that enables third parties to offertheir own car subscription service.",,Bergen,"SaaS, Software, Transportation",Between €1 million-€ 2.5 million,2018,https://imove.eco/,,NO,
Pioner Labs,https://www.eu-startups.com/directory/pioner-labs/,Norway,"Pionér Labs is a rapidly growing Norwegian company that architects, designs and develops state of the art digital products. The company HQ is in Oslo, Norway, but the team is distributed with specialists also located in Sweden, Poland, and Canada.

We have been contracted by one of the leading retail companies in Europe to execute an ambitiousproduct development strategy that requires very high-skilled competence, and a greenfield stack of modern technologies and methodologies.
All products are highly data-driven and will be developed without any restrictions from legacy software or frameworks. Over the next years, these products will pass through different development stages as they mature, and Pionér Labs will facilitate both their development and commercialization. These initiatives offer the right candidates an opportunity to work in an agile, high-energy, well-funded startup-environment, without the restrictions often found in bigger, more corporate environments.",,Oslo,"Venture creation, transformation, Olympic level",No funding announced yet,2018,https://www.pionerlabs.com/,,NO,
Pode,https://www.eu-startups.com/directory/pode/,Norway,"As they travel through the insides of a mysterious and magical mountain, Bulder and Glo breathe life into an ancient sleeping world and explore the ruins of a long-lost civilization with their unique talents and abilities. Only by helping each other can these unlikely adventure companions solve the ancient puzzles that open the secret passageways up the caverns of Mount Fjellheim.
Pode is a co-op puzzle exploration game built around the themes of friendship and cooperation, with a strong emphasis on positive actions, a relaxing atmosphere, and beautiful art inspired by Norwegian culture.",,Bergen,"puzzle exploration game, ancient puzzles, unique talents",Between €2.5 million-5 million,2018,http://www.podegame.com/,,NO,
Heligarden,https://www.eu-startups.com/directory/heligarden/,Norway,"Heligarden is a startup that aims to provide homes and businesses with stylish and easy to use urban farming products to create a more sustainable and self-sufficient future of food production. Its unique and esthetic helical design enables vertical (upwards!) growing of leafy greens, herbs, berries, and a variety of other plants without the use of soil, only nutrient-rich water. The nutrient-rich water which is specifically formulated liquid is recirculated to constantly ensure optimal growing conditions for the plants, while also consuming less than 10% of the water compared to conventional growing.",,Trondheim,"Agriculture, Food and Beverage, farming",Between €1-€100K,2018,http://heligarden.com/,,NO,
RagnaRock Geo,https://www.eu-startups.com/directory/ragnarock-geo/,Norway,"RagnaRock Geo is a Norwegian tech company on a mission to assist geophysicists in enhancing their work with data-driven decisions. RagnaRock Geo develops AI software that interprets seismic data.

The software enhances the understanding and accelerates the workflow of the geophysicist. RagnaRock Geo´s AI algorithm assists geophysicists in interpreting seismic data. Stratigraphy, horizons, and faults of large datasets can be returned within minutes.
RagnaRock Geo´s AI algorithm assists geophysicists in interpreting seismic data. Stratigraphy, horizons and faults of large datasets can be returned within minutes. We believe that geophysicists who integrate AI tools in their work achieve better results than those who don't.",,Trondheim,"AI software, geophysicist, seismic data",Between €100K-€500K,2018,https://www.ragnarockgeo.com/#/,,NO,
Rebartek,https://www.eu-startups.com/directory/rebartek/,Norway,"Tomorrow’s reinforcement is here.
Rebartek delivers prefabricated, tailor-made reinforcement cages.
Combining parametric structural design and robotics, we provide:
A safer construction site, faster installation, less waste, and lower cost. At Rebartek, we are on a mission to solve our customer’s rebar pains. Through automating rebar cage prefabrication, and tightly integrating our robots with the structural design software, we aim to tackle the growing demands for productivity, safety and sustainability in the industry.",,Søgne,"reinforcement cages, robotics, safer construction site, structural design software",Between €100K-€500K,2018,https://rebartek.com/,,NO,
Recurrent,https://www.eu-startups.com/directory/recurrent/,Norway,"Our email services are ad-free, and do not use data from your personal mailbox for commercial gain. We develop our services to make our customers’ online presence safer and more simple, and look forward to offering even more exciting services in the future.",,Høvik,"email service, mailbox, online",No funding announced yet,2018,https://www.fjordmail.no/,,NO,
ScaleupXQ,https://www.eu-startups.com/directory/scaleupxq/,Norway,"ScaleupXQ is an initiative to strengthen Norwegian tech companies ripe for commercial scaling and growth.

We operate in the space between strategy and operations, with a tactical and experienced-based approach to scaling up businesses.

There are a lot of challenges connected to growth. We believe that the appropriate competence and experience has to be built within each company in order to tackle them. This is why we join your business for an extensive period of time to support you in building your very own fundament to scale from.
Our expertise lies in the commercial side of the business with a focus on product, marketing, sales, and customer success. We also acknowledge the importance of the right organizational structure, people management, and strong leadership to successfully scale any business and have years of experience behind us in this field.

With ScaleupXQ on your team, you can expect your company to see a sharped focus, increased speed, and clear direction.",,Oslo,"tech companies, commercial, product, marketing, sales",No funding announced yet,2018,https://www.scaleupxq.com/,,NO,
Floord,https://www.eu-startups.com/directory/floord/,Norway,"Floord is a company based in Oslo, Norway. The company helps flooring and home improvement retailers accelerate customer acquisition using cutting edge 3D visualization. It was founded in 2018.",,Oslo,"Computer Software, Floor Solutions, Augmented Reality",No funding announced yet,2018,http://www.floord.ai/,,NO,
EVVA Finanzas,https://www.eu-startups.com/directory/evva-finanzas/,Norway,"EVVA is a Norwegian company that seeks to simplify the financial life of SMEs, Startups and Freelancers. The startup helps the companies get finances, maintaining secure transactions, and more.  The company is based in Oslo, Norway.",,Oslo,"FinTech, Finances, Technology",No funding announced yet,2018,evvafinanzas.com,,NO,
ShiftX,https://www.eu-startups.com/directory/shiftx/,Norway,"ShiftX is a collaborative tool, empowering teams to easily visualize, understand and improve how your business operates. Knowledge is everywhere. Collect it smartly and watch as it turns into a digital blueprint of your business. Engage everyone with simple and powerful ways to navigate and explore the connected data. Experiencing information in context sparks ideas that otherwise would require considerable effort to discover.",,Oslo,"digital blueprint, data, business operations",Between €10 million-€25 million,2018,https://shiftx.com/,,NO,
AmmaCreative,https://www.eu-startups.com/directory/ammacreative/,Norway,AmmaCreative is a project management platform that offers a prompt overview of available freelancers/creatives. The freelancers sync their regular work calendar with the platform so as to let employers access their services when available.,,Oslo,"Content Creators, Human Resources",Between €1 million-€ 2.5 million,2018,ammacreative.com,,NO,
Waved,https://www.eu-startups.com/directory/waved/,Norway,"Waved develop solutions to help restaurants, bars, hotels, and retail create a better atmosphere for their guests. Happy guests stay longer and spend more.

By using IoT sensors to analyze the human-made noise, Waved automatically adjusts the music volume to a perfect level - no matter the circumstances. We make the restaurant and hospitality experience better, no more shouting to hold a conversation - the background music is always well balanced.","WHY WAVED?
THE CUSTOMER EXPERIENCE
The goal of restaurants, bars and other eating and drinking venues is to provide the best customer experience possible. The customer’s well-being is directly linked to the amount of money spent during their stay and the likelihood that they will return.
THE IMPORTANCE OF SOUND
Research has shown that a well composed sound environment has direct impact on how the guest’s overall experience and even how the taste of the food and drinks are perceived.
LARGE INVESTMENTS IN SOUND EQUIPMENT
Most restaurants and bars know how important the sound environment is for a good customer experience and it is common to spend thousands of dollars on sound equipment.
WHAT DECIDES THE VOLUME?
The volume is usually controlled manually by waiters or bartenders in-between their other duties. Lack of information and knowledge of the customers perception often lead to poor volume level decisions.
THE SOLUTION IS WAVED
Wall-mounted sensors are placed around the venue and listens to the sound environment. Waved’s brain is build around our self-developed algorithm. It has the ability to understand and evaluate the sound environment and is used to set the perfect sound volume in order to maximise the customer experience.",Oslo,"Automated Volume regulation, IoT, AI",Between €500K-€ 1 million,2018,https://waved.no,,NO,
AdChina.io,https://www.eu-startups.com/directory/adchina-io/,Norway,"AdChina.io makes advertising on top Chinese social media channels easy for companies and brands. It helps international marketers, agencies and companies advertise on top media channels, all through one platform. The company helps in granular targeting, easy campaign setup, and advanced reporting to get started quickly and effectively.",,Oslo,"Advertising, Software",No funding announced yet,2018,https://adchina.io,,NO,
Watch Vault AS,https://www.eu-startups.com/directory/watch-vault-as/,Norway,"One app, all things watches.","Watch Vault is a social marketplace for watches and watch collectors. A joint venture between Watch Vault AS and Klokkeriet AS, Scandinavia´s largest watch community, seeks to reduce the spread of illegal, lost or stolen timepieces. Selling a watch has never been easier. Auctions at a fraction of the price of all competitors.
Watch Vault introduces digital watch collections and avantgarde marketplace functions enabling you to gain both insights and profits.
Watch Vault is the ultimate watch app.",Fornebu,"watch, timepieces, marketplace, social meda",Between €500K-€ 1 million,2018,https://www.watchvault.no/,,NO,
Tjommi,https://www.eu-startups.com/directory/tjommi/,Norway,"B2C app helping customers get money back from price drops. Enable as many consumers as possible to shop with peace of mind, using technology and data to make every single consumer transaction fair.",,Bergen,"Financial Services, FinTech, Software",Between €100K-€500K,2018,https://web.tjommi.app/,,NO,
Desuvit,https://www.eu-startups.com/directory/desuvit/,Norway,"At Desuvit, we help entrepreneurs, startups and medium-size companies take the leap and grow using technology. We have helped companies like Vipicash AS, Inter-Nationals AS, Zyberia AS, Gamified AS, Get Grocery GmbH, nubit GmbH, ClarityTechUK, to name a few.",,Oslo,"Mobile Apps, Software, Web Apps, Web Design",No funding announced yet,2018,https://www.desuvit.com/,,NO,
Horde,https://www.eu-startups.com/directory/horde/,Norway,"Cooperating with community banks our goal is to provide the lowest interest rates in the market and help you manage your loan. With a modern approach and the latest technology, we are developing the next generation of tools for banks and the finance industry. Good user experience is not just for consumers, it's also for your employees.",,Bergen,"Apps, Financial Services, FinTech",Between €5 million-€10 million,2018,https://www.horde.no/,,NO,
Intoto,https://www.eu-startups.com/directory/intoto/,Norway,"The themes from the flood experiences were discussed, and a broader understanding was gained of how others assessed the incident. The talk over lunch got longer and longer. Intoto is a Company from Norway providing real-time data from rivers and streams.",,Kvinesdal,"Electronics, Information Technology, Public Safety",Between €500K-€ 1 million,2018,https://intoto.io,,NO,
Norse Feedback,https://www.eu-startups.com/directory/norse-feedback/,Norway,"Norse Feedback delivers adaptive software solutions for mental health providers based on cutting-edge research. Norse Feedback changes the way mental health treatment is practised. For more than 40 years, the effectiveness of mental health treatment has not improved.",,Førde,"Health Care, Information Technology, Predictive Analytics, Product Research, Software",No funding announced yet,2018,https://www.norsefeedback.com/,,NO,
Mimiro,https://www.eu-startups.com/directory/mimiro/,Norway,"We develop digital solutions for more efficient and sustainable food production. We build digital products for farmers that have simple interfaces and provide greater insight that helps them to continuously improve production. We believe in helping farmers and the environment by bringing them world class digital products and creating a high value data sharing ecosystem that reduces the costs and complexity of doing business in the agriculture sector. We simplify integration, reduce costs and complexity related to data sharing with your partners, while ensuring the quality and timeliness of the data you consume.",,Akershus,"Agriculture, Data Integration, Farming, Information Technology",No funding announced yet,2018,https://en.mimiro.no,,NO,
DigiFarm,https://www.eu-startups.com/directory/digifarm/,Norway,"We're one of Norway's leading ag-tech startups and have spent the last three years developing the technology for automatically detecting the highest accuracy field boundaries and seeded acres using deep neural network models and super-resolved EO data.
DigiFarm is a Norwegian-based ag-tech startup that's spent the last three years developing deep neural network models using deeply resolved Sentinel-2 imagery at 1m resolution to detect the highest accuracy field boundaries, worldwide.",,Hamar,"Agriculture, AgTech, Farming",No funding announced yet,2018,https://digifarm.io,,NO,
PortalOne,https://www.eu-startups.com/directory/portalone/,Norway,"PortalOne is a hybrid games company that combines game and live shows to give users a more engaging games experience, with stunning visuals and next level interactivity. It is the world’s first hybrid games platform. Hybrid games are a new category of entertainment that seamlessly mixes games with live shows that are embedded directly inside the games.",,Oslo,"Content, Digital Entertainment, Gaming, Video Games",Between €10 million-€25 million,2018,https://www.portalone.com/,,NO,
Cavai,https://www.eu-startups.com/directory/cavai/,Norway,"Start adding conversational advertising creatives to your digital campaigns on all buying platforms and publisher ad servers. Without changing anything else in the way, you buy or sell media.Cavai Cloud brings you the power to make your online advertising conversational. Cavai’s conversational creatives deliver captive and valuable ad experiences on display, mobile, and video.Cavai is an award-winning global Conversational Advertising Cloud that works with agencies, publishers, advertisers and other technology platforms across ten markets and three continents.The Cavai Advertising Cloud works across all major exchanges and ad servers.",,Oslo,"Advertising, Brand Marketing, Marketing",Between €5 million-€10 million,2018,https://cavai.com/,,NO,
Raa Labs,https://www.eu-startups.com/directory/raa-labs/,Norway,"The maritime industry finds itself amid a perfect storm of economic stresses, regulatory changes and technological disruption. The step-change needed to meet the challenges will not come from what worked yesterday, but rather from cleverly leveraging the potential of technology and digitalization. To support the industry in the transition to becoming data-driven and insight enabled, Raa Labs is offering vessel data as a service.",,Lysaker,"Cloud Infrastructure, Information Services, IT Infrastructure",Between €1 million-€ 2.5 million,2018,https://www.raalabs.com/,,NO,
Variant,https://www.eu-startups.com/directory/variant/,Norway,"Variant offers services in cloud deployment, traditional web development, guidance on courses, and a range of IT services. IT is not about design sketches, lines of code, or infrastructure, but about collaboration and understanding. IT should be open, honest, and willing to change.",,Trondheim,"Cloud Management, Information Technology, Web Development",No funding announced yet,2018,https://www.variant.no/,,NO,
Arkwright X,https://www.eu-startups.com/directory/arkwright-x/,Norway,"Arkwright X is a startup incubator and venture capital arm of Arkwright Consulting AS, based in Oslo.
Since our inception in early 2017, we annually invest in a small selection of ambitious, early-stage technology startups in the Nordics with scalable business models and a clear vision for success. We help founders turn that vision into an actionable strategy and scalable growth trajectory through an 12-18 month incubation program. 

Throughout the incubation process, our team of seasoned management consultants and our advisory network of successful entrepreneurs and business leaders help the startups devise solutions to the tough early-stage challenges. We help our startups get access to crucial resources, refine their pitch to investors and connect them to people in the ecosystem pivotal to their success.",,Oslo,"VC, startup incubator",No funding announced yet,2017,www.arkwrightx.no,,NO,
Teston,https://www.eu-startups.com/directory/teston/,Norway,Teston helps you make better and informed decisions by knowing how the users in your audience experience your product or service.,,Oslo,"Internet, Software",Between €1 million-€ 2.5 million,2017,teston.io/,,NO,
Aquabyte,https://www.eu-startups.com/directory/aquabyte/,Norway,"Aquabyte was founded in 2017 to bring machine learning and computer vision technologies to the aquaculture industry. Our diverse team of machine learning experts, entrepreneurs, and aquaculture biologists are hyperfocused on delivering solutions with a real-world impact. Real-time sea lice counting, biomass monitoring, and appetite detection are just a few of the many applications that will eventually be possible with the Aquabyte system. We have offices in San Francisco and Norway.",,Bergen,"Agriculture, Aquaculture, Information Services",Between €5 million-€10 million,2017,www.aquabyte.no,,NO,
Applied Autonomy,https://www.eu-startups.com/directory/applied-autonomy/,Norway,Applied Autonomy is an IoT Content Services platform for enabling the effective deployment of smart applications in the mobility sector space.,"«Mobility»: a game changing revolution through IoT and “big data”
The megatrend towards AI based mobility necessitates an IoT Content Services Platform for the enabling of smart solutions …
A portfolio of 20+ development projects (80+ MNOK) in Northern Europe (2017-2024) verify private and public sector interest towards a problem-solution fit
Business Model: Projects and recurring revenue from applications and APIs
Problem we address
Multitude of data sources and “sensors”
Separate data-flows with no coordination
Prevents “smart” AI mobility applications
Our solution
The Applied Autonomy IoT Content Services Platform
Collects, aggregates and combines data
Adds AI algorithms to enhanced data
Enables smart mobility solutions",Kongsberg,"Sustainable transport solutions, IOT Content Service platform, AI based mobility",,2017,https://www.appliedautonomy.no/,,NO,
Dr.Dropin,https://www.eu-startups.com/directory/dr-dropin/,Norway,"Founded in 2017, Dr.Dropin has the vision to democratise the private healthcare market, giving instant access to quality care services to everyone – at an affordable price and both physically and digitally. 

To do so, the medtech startup has created a one-stop-shop to simplify healthcare services for patients. The services offered range from general medicine to specialist health services including dermatologists, physical therapists and psychologists. At the moment, about 25% of consultations are conducted digitally, reflecting the changing face of healthcare in the digital world. Already, Dr.Dropin’s network of operational clinics covers >50% of Norway’s population.",,Oslo,"medtech, health, app",Between €10 million-€25 million,2017,https://www.drdropin.no/,,NO,
Wind Catching Systems,https://www.eu-startups.com/directory/wind-catching-systems/,Norway,"Wind Catching Systems is an energy company that uses floating wind as a competitive energy source. Its multi-rotor floating wind technology takes a novel approach to harvesting the vast wind resources found in deep-water ocean areas. Offshore wind operators and developers will be able to produce electricity at a cost competitive with other energysources without the need for subsidies. The company is currently working on floating multi-turbine technology. In comparison to conventional floating offshore wind farms, the technology is expected to reduce acreage use by more than 80% and increase efficiency significantly.",,Lysaker,"energy, wind energy, sustainability, green",Between €10 million-€25 million,2017,https://windcatching.com,,NO,
visualiz,https://www.eu-startups.com/directory/visualiz/,Norway,"visualiz is a realistic VR/AR visualization platform that unifies your data sources into a digital twin, providing a single source of truth for your business. Built for VR and AR we providing a richer understanding of business through collaboration, realism and data visualization. Our digital twin functions as a simulation of your entire operation like a factory or wind farm.",,Oslo,"VR, AR, Data",,2017,www.visualiz.tech,,NO,
Preppio,https://www.eu-startups.com/directory/preppio/,Norway,"Preppio automates time-consuming tasks for HR and hiring managers and empowers them to deliver on the employee onboarding experience. Investing in Preppio results in reducing unwanted turnover, time to productivity for new hires, and reduction in failed hiring. HR's favorite tool that orchestrates the onboarding process employees love",,Oslo,"Hiring tool, employee, HR, hire",No funding announced yet,2017,https://preppio.com/,,NO,
GrepS,https://www.eu-startups.com/directory/greps/,Norway,"GrepS is a Norwegian company that seeks to support the skill growth of professional Java developers via skill analysis and brutal honesty. The company is based in Oslo, Norway. It was founded on Jan 1, 2017.",,Oslo,"Software Development, Coding, Object Oriented Programming",Between €100K-€500K,2017,www.greps.com/,,NO,
Greensight,https://www.eu-startups.com/directory/greensight/,Norway,"Greensight is a Norwegian company that seeks to accelerate green transportation. The company provides knowledge and decision support along the entire value chain for hydrogen, with the center of focus on transportation. It's based in Bergen, Norway, and was founded on Jan 1, 2017.",,Bergen,"Green Energy, Green Transportation, Renewable Energy, Sustainability",No funding announced yet,2017,www.greensight.no/,,NO,
qbee,https://www.eu-startups.com/directory/qbee/,Norway,"Automation and remote device management for embedded Linux devices. Control, manage, automate and configure embedded Linux devices including CVE analysis and remote web server access, and ssh port forwarding. Lifecycle management, VPN included. The IoT device management platform works vendor agnostic. Just install the qbee agent package. Different Linux agent packages are available as well as YOCTO support. In other words, this allows simple OTA software updates on a large fleet of devices.",,Oslo,"automation, remote, device, software",No funding announced yet,2017,https://qbee.io/,,NO,
Globus.ai,https://www.eu-startups.com/directory/globus-ai/,Norway,"Globus.ai is a Norwegian data science and AI company. Headquartered in Norway, the company focuses on healthcare and social work staffing, with an emphasis on professions that positively impact human lives. The cloud-based software supports you in all the steps of the candidate placement process.",,Sandnes,"Artificial Intelligence, CRM, Machine Learning, Software",Between €1 million-€ 2.5 million,2017,https://www.globus.ai/,,NO,
Quesnay,https://www.eu-startups.com/directory/quesnay/,Norway,"KYC and AML requirements are common challenges in the banking and finance industry. Quesnay delivers a comprehensive Client Lifecycle Management (CLM) solution to the Nordic market to meet the demands of tomorrow. Stay on top of the regulations and make it your competitive advantage with our efficient, user-friendly, and specialized compliance features. For you and your customers. Stay compliant in the face of stricter frameworks and reporting standards in the financial sector. Digital onboarding, secure signing, KYC and AML checks, and ongoing due diligence; all in one compliance hub for optimized Client Lifecycle Management. During the past year, Quesnay has been part of the Norwegian FSA's first round of a regulatory sandbox for fintech. The engagement has provided us with valuable insight into regulatory clarifications in order to be able to innovate in the work against money laundering. The final report is now published with insight into the process, the project, and the regulatory issues that have been discussed.",,Oslo,"banking industry, finance industry, Nordic market",No funding announced yet,2017,https://quesnay.com/,,NO,
Quine,https://www.eu-startups.com/directory/quine/,Norway,"Distributed Collaborative Workflows for media productions Redefined Ground-breaking, fast, and connected Production Asset Management System (PAM) for local and distributed media production. Collaborate with participants working from anywhere. Your entire production on one platform.
Ground-breaking, fast, and connected Production Asset Management System (PAM) for distributed production. ""The QuineCore extension for Adobe Team Projects has simplified shared editing, review processes, and post-integration significantly and brings new possibilities into Adobe Premiere Pro.""",,Oslo,"Distributed Collaborative Workflows, Production Asset Management System, Adobe Premiere Pro",No funding announced yet,2017,https://www.quine.no/,,NO,
Scout Drone Inspection,https://www.eu-startups.com/directory/scout-drone-inspection/,Norway,"An automated drone system
for indoor industrial inspection
Manual visual inspection of industrial assets is costly, time-consuming, and exposes human operators to risk of injury.

Scout 137 is a complete drone system for inspection of confined spaces and indoor industrial assets that eliminates the need for scaffolding or climbing.

Follow inspections live in our cloud portal, geo-tag findings with their precise location in the 3D asset model and generate reports.
Our drone system has successfully inspected a 19.4 meter high oil tank onboard a Floating Production, Storage, and Offloading vessel. The video shot by the drone was interpreted in real-time by an algorithm to detect cracks in the structure. The goal is to make tank inspections more efficient and safer for surveyors, delivering the same quality while minimizing operational downtime for the customers.",,Trondheim,"Drone, automated, geo-tag findings, 3D",Between €2.5 million-5 million,2017,https://www.scoutdi.com/,,NO,
Folio,https://www.eu-startups.com/directory/folio/,Norway,"Folio is the bank account that does the accounting for you. It combines banking and accounting, so you save time - whether you have ENK or AS. It also gives entrepreneurs the confidence to start and grow a business.",,Oslo,"Banking, Financial Services, FinTech, Small and Medium Businesses",Between €2.5 million-5 million,2017,https://folio.no/,,NO,
Flexibility,https://www.eu-startups.com/directory/flexibility/,Norway,"Flexibility  offers optimized charging of electrical vehicles. The company develops the most eco-friendly, user-friendly and intelligent charging software. The startup is based in Oslo, Norway.",,Oslo,"Energy Management, Renewable Energy, Electric Cars, Charging Software",No funding announced yet,2017,www.flexibility.no,,NO,
Fishency Innovation,https://www.eu-startups.com/directory/fishency-innovation/,Norway,"Fishency Innovation is a startup company located in Stavanger, Norway. The company offers Fishency360, a hardware and software solution for fish welfare that monitors fish health, lice, and growth. The technology helps in viewing, scanning and analysis of every fish. The technology promotes cost-friendly and sustainable development of the aquaculture industry.",,Stavanger,"Aquaculture, Computer Vision, Data Visualization, Machine Learning",Between €100K-€500K,2017,fishency.no/,,NO,
Simplifai,https://www.eu-startups.com/directory/simplifai/,Norway,"Simplifai is a holistic Artificial Intelligence (AI) company with the vision to empower tomorrow's digital winners and to release the full potential of human employees through the smart application of artificial intelligence and automation technology. The company's disruptive, hyper-automation solutions allow customers to automate work processes where free-text, natural language emails, documents, or chat are the information carriers. Its Emailbot can automate the handling of up to 80% of the inquiries in an average customer service center.
In the past, it has been common to customize the digitalization and automation of processes for each individual company. This has made digitalization expensive and limited its scalability. Now, we can build digital employees composed of standardized modules. When a new digital employee is being created, the modules are selected based on industry and job function. The modules are connected almost like Legos: standardized, function-specific, almost entirely self-propelled, and fun!

With today’s technology, the range of what can be automated is expanding. We work with holistic functions, not just individual processes. Thus, we can create teachable systems that can both assess content and take action. We also facilitate the pairing of systems, as well as cooperation between them. This constitutes a good starting point for new and exciting opportunities.",,Oslo,"Artificial Intelligence (AI), digitalization, automation, digital employee",No funding announced yet,2017,https://www.simplifai.ai/,,NO,
Enjoy.ly,https://www.eu-startups.com/directory/enjoy-ly/,Norway,"Enjoy.ly is a Norwegian startup whose mission is to make the world's activities and events easily accessible for discovery and exploration by all people. The company is situated in Stavanger, Norway.",,Stavanger,"Apps, Outdoors, Travel, Events",Between €100K-€500K,2017,www.enjoy.ly/no/,,NO,
qbee AS,https://www.eu-startups.com/directory/qbee-as/,Norway,Embedded Linux device management and remote access - SaaS,"Embedded Linux device management and remote access with integrated VPN.  
Industry 4.0, Smart City, Smart Building and many other IoT applications have a common challenge. They involve a lot of different edge devices that all need to be managed throughout their lifecycle. On a typical shop floor or in a smart city deployment there are dozens of different devices that all need to have security settings in place, that need to be updated and configured as well as maintained until decommissioning.  https://qbee.io solves all this by providing a flexible agent that can be installed on any Linux device without the need for additional development work. It is lightweight and pull-based which allows the units to connect from basically any company network or firewall as well as through mobile networks. The build in VPN makes it possible to securely access the remote devices out of the box either through remote ssh access or through full web server access with the qbee-connect desktop tool. Utilizing a VNC client like RealVNC or similar qbee turns quickly into an embedded Teamviewer alternative allowing to simply check what is happening on a remote device. Integrated performance metric monitoring allows to quickly discover any deviations within the device fleet. This can identify log file creeping, flash issues or just high load.  qbee.io provides a full analysis of all software libraries used and checks against the NIST CVE security database. This allows to proactively identify security issues such as heartbleed or similar.  One major functionality of qbee is the configuration management. This part allows OTA software updates of libraries and packages. Together with file distribution and templating this allows to easily configure any application or Linux service. In contrast to Chef, Puppet, SaltStack or Ansible qbee is pull-based. This allows to configure devices based on state rather than to tell the edge units what to do. All devices (also spare devices that might have been offline for years) will receive the latest configuration and converge to that. All this with a minimum footprint and impact on other device functionality. This is very useful to keep ssh keys concurrent for all devices even while rotating them on a regular basis. Typical customers of qbee are system operators that need to maintain a diverse fleet of edge devices, both new and legacy ones. Here a single pane of view helps to get a full overview quickly. Manufacturers of machinery and industrial solutions can use qbee as a remote device management tool without the need for investing into their own development. This allows for fast POCs (proof of concept) as well as for very good ROI (return on investment). Embedded board device manufacturers can offer qbee as a pre-installed solution enabling their customers to achieve a quick time to value. 
 We are happy to get in touch with you and let you know more about our solution. We also offer a 30 day free trial: https://qbee.io/trial/",Trollåsen,"IoT, device management, embedded Linux, operational technology",Between €100K-€500K,2017,https://qbee.io,,NO,
Eir of Norway,https://www.eu-startups.com/directory/eir-of-norway/,Norway,"Eir of Norway provides a new seafood adventure from the oceans of the Vikings to the seekers of high quality and health. It is Norway's exclusive exporter of premium Norwegian red sea cucumber. The wild Norwegian Red Sea Cucumbers are rich with the nutrients of Norway's beautiful, cold, clean waters.",,Stavanger,"Seafood, Luxury Seafood, Health, Red Sea Cucumber",No funding announced yet,2017,http://www.eirofnorway.com/,,NO,
Smart Cylinders,https://www.eu-startups.com/directory/smart-cylinders/,Norway,"The Smart Cylinders fleet management system can simplify your gas delivery service and cut transport costs by up to 50%. This leads to a significantly reduced carbon footprint and improved customer satisfaction. 
7 Smart Cylinders Sensors,
3 months Web Portal license,
1 Subdomain
What's Included:
7 sensors with a 3-month license to our web portal service.
Access to your own company subdomain for route optimization and monitoring of your customers' LPG consumption.
Free support from our technical advisors.
By purchasing our starter kit you can easily test the Smart Cylinders experience with 7 of your selected customers. Once you have decided to implement the service as a core part of your business, the starter kit can be expanded by adding more sensors.",,Trondheim,"gas delivery service, starter kit, LPG",No funding announced yet,2017,https://www.smartcylinders.com/,,NO,
Diwala,https://www.eu-startups.com/directory/diwala/,Norway,"Diwala is a Norwegian-based company that is focused on building opportunities for youth, addressing the global issue of identity theft and certification fraud. Its mission is to build an ecosystem of digital skill identities with verifiable credentials - to create global opportunities for people. Diwala has created a platform that enables schools and NGOs to issue skill-based identities, backed by blockchain technology.",,Oslo,"Education, Information Technology, Software",No funding announced yet,2017,https://diwala.io/,,NO,
Dintero,https://www.eu-startups.com/directory/dintero/,Norway,"Dintero is a Norwegian startup delivering payment, checkout, crm & loyalty solutions.  It aims at helping clients increase sales by bettering the customer experience with the help of more insight, loyalty programs and payment solutions. The company was established in 2017.",,Oslo,"Payments, Information Technology, CRM, Online payment",Between €1 million-€ 2.5 million,2017,https://dintero.com/,,NO,
Deep Insight,https://www.eu-startups.com/directory/deep-insight/,Norway,"Deepinsight is a data science startup headquartered in Oslo, Norway, with a specialty in advanced predictive analytics. It offers its services in financial, retail and other sectors. The company believes that everyone should benefit from the power of advanced analytics, and that if used in the right way, mathematics and data science can bring substantial improvements to peoples’ lives.",,Oslo,"Analytics, Financial Services, Information Technology",No funding announced yet,2017,https://www.deepinsight.io/,,NO,
